what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854603988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854608098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854608139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854609261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854609282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854610861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854614076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854616604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854616622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854617691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854618276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854620933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854620954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854622211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854622225
